Phenotype,Parameter,Theta,P1,P2,P3,P4,Trial,,Key
p4,Sub_mean,4.123465657,0.095658301,0.318090657,0.04862431,0.537626732,61.71764706,,
p4,Sub_SD,0.608171718,0.05622538,0.084481998,0.032049238,0.089285574,7.219922536,,
p4,Sub_min,3.240085622,0,0,0,0.131868132,,,
p4,Sub_max,7.826073633,0.586206897,0.756756757,0.188679245,0.979166667,,,
p4,Sub_SD_mean,,0.05622538,0.084481998,0.032049238,0.089285574,,,
p4,Sub_SD_SD,,0.050461389,0.040539585,0.015996041,0.03775521,,,
p4,Sub_SD_min,,0.011022793,0.013454277,0.003226814,0.046382572,,,
p4,Sub_SD_max,,0.212795942,0.193170041,0.060538906,0.166939159,,,
p4,Ses_SD,0.81438952,0.118947664,0.177270149,0.045454072,0.182557756,12.00873525,,
p4,Ses_min,3.240085622,0,0,0,0.131868132,,,
p4,Ses_max,7.826073633,0.586206897,0.756756757,0.188679245,0.979166667,,,
p4,Ses_SD_mean,,0.118947664,0.177270149,0.045454072,0.182557756,,,
p4,Ses_SD_SD,,0.026162083,0.015059821,0.007999596,0.017566115,,,
p4,Ses_SD_min,,0.080347987,0.152673205,0.031399161,0.158776165,,,
p4,Ses_SD_max,,0.158687491,0.19972916,0.055569409,0.214219786,,,
