Subject,Injury,Biome_SampleID,Collect_Time,alpha_diversity,Week,PctOptimal,PctPremature,OptimalBase,PrematureBase
3,Sham,Martens-26-HFD3-3,D3,3.737005436,9,1.190432756,9.020942347,21.24257636,8.000449204
3,Sham,Martens-26-HFD3-3,D3,3.737005436,5,8.835859921,14.5630342,21.24257636,8.000449204
3,Sham,Martens-26-HFD3-3,D3,3.737005436,7,0.327868852,8.89288636,21.24257636,8.000449204
3,Sham,Martens-26-HFD3-3,D3,3.737005436,3,27.19210844,13.46034952,21.24257636,8.000449204
3,Sham,Martens-26-HFD3-3,D3,3.737005436,4,13.74036836,15.85451684,21.24257636,8.000449204
3,Sham,Martens-26-HFD3-3,D3,3.737005436,2,23.44788836,13.32214333,21.24257636,8.000449204
3,Sham,Martens-50-HFD3-30,D30,4.192399814,10,0,8.298369498,21.24257636,8.000449204
3,Sham,Martens-50-HFD3-30,D30,4.192399814,8,0,9.099704093,21.24257636,8.000449204
3,Sham,Martens-50-HFD3-30,D30,4.192399814,6,2.719526088,14.44169544,21.24257636,8.000449204
3,Sham,Martens-50-HFD3-30,D30,4.192399814,9,1.190432756,9.020942347,21.24257636,8.000449204
3,Sham,Martens-50-HFD3-30,D30,4.192399814,5,8.835859921,14.5630342,21.24257636,8.000449204
3,Sham,Martens-50-HFD3-30,D30,4.192399814,7,0.327868852,8.89288636,21.24257636,8.000449204
3,Sham,Martens-50-HFD3-30,D30,4.192399814,3,27.19210844,13.46034952,21.24257636,8.000449204
3,Sham,Martens-50-HFD3-30,D30,4.192399814,4,13.74036836,15.85451684,21.24257636,8.000449204
3,Sham,Martens-50-HFD3-30,D30,4.192399814,2,23.44788836,13.32214333,21.24257636,8.000449204
3,Sham,Martens-74-HFD3-60,D60,4.230962079,10,0,8.298369498,21.24257636,8.000449204
3,Sham,Martens-74-HFD3-60,D60,4.230962079,8,0,9.099704093,21.24257636,8.000449204
3,Sham,Martens-74-HFD3-60,D60,4.230962079,6,2.719526088,14.44169544,21.24257636,8.000449204
